Sno,"AffNo,School & Head Name","Address,Phone & Email"
,,
1,Affiliation No.1931285,"Address: SOWRIPALAYAM ROAD, COIMBATORE-641028. ,641028"
,Name:  ADWAITH THOUGHT ACADEMY,"Phone No: ,04222317916"
,Head/Principal Name: JAYASHREE H,Email: adwaithgnsschool@gmail.com
,Status of the School: Senior Secondary,Website: www.adwaithgns.in
,Affiliated up to: 31/03/2024 ,
,,
2,Affiliation No.1930996,"Address: SF.NO 426/2 ,MATHAMPALAYAM,BILLICHI,COIMBATORE-641019,TAMILNADU. ,641019"
,Name:  AKSHARAM INTERNATIONAL SCHOOL,"Phone No: ,04222461991"
,Head/Principal Name: A SIVAKUMAR,Email: info@aksharamschool.org
,Status of the School: Senior Secondary,Website: http://aksharamschool.org/
,Affiliated up to: 31/03/2024,
,,
3,Affiliation No.1931419,"Address: THUDIYALUR, COIMBATORE NORTH TALUK ,641017"
,Name:  AKSHAYA ACADEMY SCHOOL,"Phone No: ,9047057006"
,Head/Principal Name: T RAJESWARI,Email: cbe@akshayaacademy.com
,Status of the School: Senior Secondary,Website: www.akshaya.academy
,Affiliated up to: 31/03/2027,
,,
4,Affiliation No.1931421,"Address: KAVUNDAMPALAYAM, COIMBATORE ,641025"
,Name:  ANGAPPA ACADEMY,"Phone No: ,0422240042"
,Head/Principal Name: REVATHI RADHAKRISHNAN,Email: angappaacademy@gmail.com
,Status of the School:Secondary School,Website: www.angappaacademy.com
,Affiliated up to: 31/03/2027,
,,
5,Affiliation No.1930054,"Address: RAJA ANNAMALAI CHETTIAR ROAD S B MISSION EAST POST SAIBABA COLONY COIMBATORE TAMIL NADU ,641011"
,Name:  ANGAPPA EDU. TRUST SR SEC SCHOOL,"Phone No: 0422 ,2447532"
,Head/Principal Name: MRS G BRINDA PREMAKUMARI,Email: principalangappa@gmail.com
,Status of the School: Senior Secondary,Website:
,Affiliated up to: 31/03/2028,
,,
6,Affiliation No.1930577,"Address: 635/680/6,681/1, KATHIRAVAN GARDENS, SINGANALLUR, COIMBATORE-641005 ,641005"
,Name:  B.V.M. GLOBAL KARPAGAM CAMPUS,"Phone No: 0422 ,7708873733"
,Head/Principal Name: MRS SYEDA SARFRAZ S A,Email: principal_coimbatore1@bvmglobal.org
,Status of the School: Senior Secondary,Website: http://coimbatorekarpagam.bvmglobal.org/index.aspx
,Affiliated up to: 31/03/2024,
,,
7,Affiliation No.1931145,"Address: 1. TVS NAGAR ROAD, KAVUNDAMPALAYAM, COIMBATORE 641030 ,641030"
,Name:  BENGLEN PUBLIC SCHOOL,"Phone No: ,9843077572"
,Head/Principal Name: ABISHEK PAUL JACKSON,Email: frankcbe@yahoo.com
,Status of the School: Senior Secondary,Website: www.benglen.org
,Affiliated up to: 31/03/2027,
,,
8,Affiliation No.1930467,"Address: AMARAVATHIPALAYAM ROAD VIJAYAPURAM(PO)TIRUPUR, COIMBATORE-641606 ,641606"
,Name:  BHARATHI VIDHYA BHAVAN SCHOOL,"Phone No: 0421 ,9843846578"
,Head/Principal Name: Mr SGS Ashwin,Email: bvbscltpr@gmail.com
,Status of the School: Senior Secondary,Website:
,Affiliated up to: 31/03/2028,
,,
9,Affiliation No.1930877,"Address: 84 A,AMMASAI GOUNDER STREET, VELLAKINAR, COIMBATORE - 641029 ,641029"
,Name:  BRILLIANT VIDYA BHAVAN,"Phone No: ,04222908791"
